transaction_id,timestamp,date,hour,merchant_id,customer_id,amount,currency,payment_method,status,error_code,root_cause,recovery_strategy,retry_count,subscription_id,merchant_config
txn_000001,2024-01-15 00:00:00,2024-01-15,00,m_test_123456,cust_5506,2824,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000002,2024-01-15 00:10:00,2024-01-15,00,m_test_123456,cust_3286,5012,INR,upi,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000003,2024-01-15 00:20:00,2024-01-15,00,m_test_123456,cust_7912,2679,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000004,2024-01-15 00:30:00,2024-01-15,00,m_test_123456,cust_2535,1520,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000005,2024-01-15 00:40:00,2024-01-15,00,m_test_123456,cust_9279,4582,INR,upi,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000006,2024-01-15 00:50:00,2024-01-15,00,m_test_123456,cust_9928,1434,INR,upi,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000007,2024-01-15 01:00:00,2024-01-15,01,m_test_123456,cust_8359,7873,INR,upi,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000008,2024-01-15 01:10:00,2024-01-15,01,m_test_123456,cust_3615,5557,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000009,2024-01-15 01:20:00,2024-01-15,01,m_test_123456,cust_5552,7924,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000010,2024-01-15 01:30:00,2024-01-15,01,m_test_123456,cust_6514,3547,INR,upi,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000011,2024-01-15 01:40:00,2024-01-15,01,m_test_123456,cust_7224,2674,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000012,2024-01-15 01:50:00,2024-01-15,01,m_test_123456,cust_6635,2584,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000013,2024-01-15 02:00:00,2024-01-15,02,m_test_123456,cust_8527,5333,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000014,2024-01-15 02:10:00,2024-01-15,02,m_test_123456,cust_7201,9785,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000015,2024-01-15 02:20:00,2024-01-15,02,m_test_123456,cust_6925,2291,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000016,2024-01-15 02:30:00,2024-01-15,02,m_test_123456,cust_1750,4150,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000017,2024-01-15 02:40:00,2024-01-15,02,m_test_123456,cust_2307,4733,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000018,2024-01-15 02:50:00,2024-01-15,02,m_test_123456,cust_7227,4814,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000019,2024-01-15 03:00:00,2024-01-15,03,m_test_123456,cust_6977,5554,INR,wallet,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000020,2024-01-15 03:10:00,2024-01-15,03,m_test_123456,cust_6820,3664,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000021,2024-01-15 03:20:00,2024-01-15,03,m_test_123456,cust_2169,4432,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000022,2024-01-15 03:30:00,2024-01-15,03,m_test_123456,cust_3677,3803,INR,upi,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000023,2024-01-15 03:40:00,2024-01-15,03,m_test_123456,cust_5422,8573,INR,wallet,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000024,2024-01-15 03:50:00,2024-01-15,03,m_test_123456,cust_1916,4598,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000025,2024-01-15 04:00:00,2024-01-15,04,m_test_123456,cust_6168,4752,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000026,2024-01-15 04:10:00,2024-01-15,04,m_test_123456,cust_2084,7572,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000027,2024-01-15 04:20:00,2024-01-15,04,m_test_123456,cust_4483,4456,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000028,2024-01-15 04:30:00,2024-01-15,04,m_test_123456,cust_8517,9179,INR,wallet,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000029,2024-01-15 04:40:00,2024-01-15,04,m_test_123456,cust_3287,3340,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000030,2024-01-15 04:50:00,2024-01-15,04,m_test_123456,cust_8019,5040,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000031,2024-01-15 05:00:00,2024-01-15,05,m_test_123456,cust_4593,7543,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000032,2024-01-15 05:10:00,2024-01-15,05,m_test_123456,cust_2489,3266,INR,wallet,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000033,2024-01-15 05:20:00,2024-01-15,05,m_test_123456,cust_3504,1771,INR,card,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000034,2024-01-15 05:30:00,2024-01-15,05,m_test_123456,cust_2040,3621,INR,wallet,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000035,2024-01-15 05:40:00,2024-01-15,05,m_test_123456,cust_8668,7304,INR,wallet,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000036,2024-01-15 05:50:00,2024-01-15,05,m_test_123456,cust_1188,9669,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000037,2024-01-15 06:00:00,2024-01-15,06,m_test_123456,cust_6573,2876,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000038,2024-01-15 06:10:00,2024-01-15,06,m_test_123456,cust_8123,2827,INR,netbanking,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000039,2024-01-15 06:20:00,2024-01-15,06,m_test_123456,cust_1053,3591,INR,wallet,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
txn_000040,2024-01-15 06:30:00,2024-01-15,06,m_test_123456,cust_9317,5315,INR,upi,success,,,,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}"
